sex,age,region,agglomeration_type,personal_situation,main_profession,employment_status,internet_frequency,cultural_frequency,legality_type,legality_evolution,payment_type,monthly_spending,devices_films_series,vpn_usage,cracked_apps_usage,streaming_download_type,dns_settings_usage,paid_services_access,household_size,children_count,household_status,age_group,generation,children_count_numeric,household_size_numeric,has_children,family_stage,urbanity_bucket,internet_intensity_score,cultural_frequency_score,legality_score,payment_orientation_score,paid_access_score,vpn_score,dns_score,download_risk_score,cracked_apps_score,module_completion_rate,response_depth_score,engagement_score,risk_behavior_score,monetization_score,raw_content_paid_score,raw_content_category_count,raw_device_diversity,raw_illicit_channel_count,raw_illicit_frequency_mean,raw_illicit_method_count,raw_stream_ripping_score,raw_legal_offer_advantage_count,raw_legal_motivation_count,raw_behavioral_coverage_rate,content_depth_score,raw_risk_intensity_score,legal_value_perception_score,paying_user,hybrid_access_user,risky_behavior_user,payment_bucket,access_style,value_tier,high_value_user,under_monetized_engaged_user,consumer_segment,consumer_profile
Female,60,Nouvelle-Aquitaine,Rural isolé,actif,Employés civils et agents de service publics,Salarié collectivité territoriale / HLM,Plusieurs fois par jour,,,,,0.0,,jamais,,,Je ne sais pas ce que c’est,,1 personne,Aucun,célibataire,50-64,Gen X,0,1,False,Single / other,Rural,7,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.4,4,0.45,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,1,0.0498220640569395,0.01494661921708185,0.0,1,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Gen X | Free-oriented | without children
Male,20,Île-de-France,Petite ville (20k–50k hab.),actif,Cadres de la fonction publique,Salarié d’entreprise publique,Plusieurs fois par jour,Tous les jours ou presque,Légale,autant légale,,0.0,,jamais,,,Jamais,abonné,5 personnes,1,enfant,18-24,Gen Z,1,5,True,Family with children,Urban,7,4.0,1.0,0.0,2.0,0,0,0.0,0.0,0.7,7,0.8,0.0,0.2,0.0,0,0,0,0.0,0,0.0,0,4,0.0498220640569395,0.01494661921708185,0.0,4,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Gen Z | Free-oriented | with children
Female,20,Provence-Alpes-Côte d’Azur,Bourg / petite agglomération,actif,Commerçants et assimilés (moins de 10 salariés),Salarié du privé ou association,Plusieurs fois par jour,1 à 5 fois par semaine,Légale,davantage légale,,0.0,,jamais,,,Je ne sais pas ce que c’est,abonné,2 personnes,Aucun,couple,18-24,Gen Z,0,2,False,Couple without children,Other,7,3.0,1.0,0.0,2.0,0,0,0.0,0.0,0.7,7,0.7124999999999999,0.0,0.2,0.0,0,0,0,0.0,0,0.0,0,7,0.0498220640569395,0.01494661921708185,0.0,7,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Gen Z | Free-oriented | without children
Female,63,Provence-Alpes-Côte d’Azur,Rural isolé,actif,Professions libérales de la santé,Salarié d’un hôpital public,Plusieurs fois par jour,,,davantage légale,,0.0,,jamais,,,Jamais,,2 personnes,Aucun,couple,50-64,Boomer+,0,2,False,Couple without children,Rural,7,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.4,4,0.45,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,1,0.0498220640569395,0.01494661921708185,0.0,1,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Boomer+ | Free-oriented | without children
Male,61,Provence-Alpes-Côte d’Azur,Rural isolé,retraite,Cadres de la fonction publique,,Plusieurs fois par jour,1 à 3 fois par mois,Légale,autant légale,,0.0,,jamais,,,Je ne sais pas ce que c’est,abonné,2 personnes,Aucun,couple,50-64,Boomer+,0,2,False,Couple without children,Rural,7,2.0,1.0,0.0,2.0,0,0,0.0,0.0,0.7,7,0.625,0.0,0.2,0.0,0,0,0,0.0,0,0.0,0,4,0.0498220640569395,0.01494661921708185,0.0,4,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Boomer+ | Free-oriented | without children
Male,60,Nouvelle-Aquitaine,Petite ville (20k–50k hab.),retraite,Artisans (moins de 10 salariés),,1 fois par jour ou presque,,,autant légale,,0.0,,jamais,,,Jamais,,2 personnes,Aucun,couple,50-64,Gen X,0,2,False,Couple without children,Urban,6,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.4,4,0.3857142857142857,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,2,0.0498220640569395,0.01494661921708185,0.0,2,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Gen X | Free-oriented | without children
Female,22,Auvergne-Rhône-Alpes,Petite ville (20k–50k hab.),actif,Artisans (moins de 10 salariés),Chef d'entreprise à son compte,Plusieurs fois par jour,Tous les jours ou presque,Légale,autant légale,,0.0,,régulièrement,,,Je ne sais pas ce que c’est,abonné,2 personnes,Aucun,enfant,18-24,Gen Z,0,2,False,Single / other,Urban,7,4.0,1.0,0.0,2.0,3,0,0.0,0.0,0.7,7,0.8,3.0,0.2,0.0,0,0,0,0.0,0,0.0,0,8,0.0498220640569395,0.01494661921708185,0.0,8,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Gen Z | Free-oriented | without children
Male,62,Île-de-France,Autres / hors unité urbaine,actif,Chefs d'entreprise de 10 salariés ou plus,Chef d’entreprise salarié / gérant / PDG,Plusieurs fois par jour,,,autant légale,,0.0,,jamais,,,De temps en temps,abonné,2 personnes,Aucun,couple,50-64,Boomer+,0,2,False,Couple without children,Other,7,0.0,0.0,0.0,2.0,0,1,0.0,0.0,0.5,5,0.45,1.0,0.2,0.0,0,0,0,0.0,0,0.0,0,6,0.0498220640569395,0.01494661921708185,0.0,6,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Boomer+ | Free-oriented | without children
Female,52,Provence-Alpes-Côte d’Azur,Rural isolé,actif,Cadres d'entreprise (administratifs et commerciaux),Salarié d’entreprise publique,Plusieurs fois par jour,1 à 5 fois par semaine,Légale,autant légale,,0.0,,jamais,,,Je ne sais pas ce que c’est,,4 personnes,Aucun,couple,50-64,Gen X,0,4,False,Couple without children,Rural,7,3.0,1.0,0.0,0.0,0,0,0.0,0.0,0.6,6,0.7124999999999999,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,2,0.0498220640569395,0.01494661921708185,0.0,2,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Gen X | Free-oriented | without children
Male,20,Bourgogne-Franche-Comté,Rural isolé,actif,Employés civils et agents de service publics,Salarié d’un hôpital public,Plusieurs fois par jour,,,autant légale,,0.0,,occasionnellement,,,Jamais,compte partagé,2 personnes,Aucun,couple,18-24,Gen Z,0,2,False,Couple without children,Rural,7,0.0,0.0,0.0,1.0,2,0,0.0,0.0,0.5,5,0.45,2.0,0.1,0.0,0,0,0,0.0,0,0.0,0,1,0.0498220640569395,0.01494661921708185,0.0,1,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Gen Z | Free-oriented | without children
Male,51,Bourgogne-Franche-Comté,Rural isolé,actif,Ouvriers qualifiés de type industriel,Salarié du privé ou association,1 fois par jour ou presque,,,autant légale,,0.0,,jamais,,,Je ne sais pas ce que c’est,abonné,3 personnes,1,couple,50-64,Gen X,1,3,True,Family with children,Rural,6,0.0,0.0,0.0,2.0,0,0,0.0,0.0,0.5,5,0.3857142857142857,0.0,0.2,0.0,0,0,0,0.0,0,0.0,0,4,0.0498220640569395,0.01494661921708185,0.0,4,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Gen X | Free-oriented | with children
Female,19,Pays de la Loire,Rural isolé,étudiant,,,Plusieurs fois par jour,Tous les jours ou presque,Légale,davantage légale,,0.0,,ancien utilisateur,,,De temps en temps,abonné,6 personnes,2,enfant,18-24,Gen Z,2,6,True,Family with children,Rural,7,4.0,1.0,0.0,2.0,1,1,0.0,0.0,0.7,7,0.8,2.0,0.2,0.0,0,0,0,0.0,0,0.0,0,5,0.0498220640569395,0.01494661921708185,0.0,5,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Gen Z | Free-oriented | with children
Male,59,Nouvelle-Aquitaine,Rural isolé,actif,Ingénieurs et cadres techniques d'entreprise,Salarié du privé ou association,Plusieurs fois par jour,,,autant légale,,0.0,,occasionnellement,,,Jamais,,2 personnes,Aucun,couple,50-64,Gen X,0,2,False,Couple without children,Rural,7,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.4,4,0.45,2.0,0.0,0.0,0,0,0,0.0,0,0.0,0,1,0.0498220640569395,0.01494661921708185,0.0,1,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Gen X | Free-oriented | without children
Female,25,Île-de-France,Autres / hors unité urbaine,actif,Professions libérales de la santé,Chef d'entreprise à son compte,Plusieurs fois par jour,1 à 5 fois par semaine,Souvent légale,davantage légale,,0.0,,régulièrement,,,De temps en temps,compte partagé,2 personnes,Aucun,couple,25-34,Gen Z,0,2,False,Couple without children,Other,7,3.0,2.0,0.0,1.0,3,1,0.0,0.0,0.7,7,0.7124999999999999,4.0,0.1,0.0,0,0,0,0.0,0,0.0,0,2,0.0498220640569395,0.01494661921708185,0.0,2,False,True,True,Free-oriented,Hybrid,Non-spender,False,False,Low Engagement Users,Gen Z | Free-oriented | without children
Male,65,Occitanie,Rural isolé,retraite,Chefs d'entreprise de 10 salariés ou plus,,Plusieurs fois par jour,,,autant légale,,0.0,,jamais,,,Je ne sais pas ce que c’est,,1 personne,Aucun,célibataire,65+,Boomer+,0,1,False,Single / other,Rural,7,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.4,4,0.45,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,2,0.0498220640569395,0.01494661921708185,0.0,2,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Boomer+ | Free-oriented | without children
Female,31,Auvergne-Rhône-Alpes,Rural isolé,actif,Professions libérales de la santé,Salarié du privé ou association,Plusieurs fois par jour,Tous les jours ou presque,Légale,autant légale,,0.0,,régulièrement,,,Régulièrement,abonné,5 personnes,3,couple,25-34,Millennial,3,5,True,Family with children,Rural,7,4.0,1.0,0.0,2.0,3,2,0.0,0.0,0.7,7,0.8,5.0,0.2,0.0,0,0,0,0.0,0,0.0,0,3,0.0498220640569395,0.01494661921708185,0.0,3,False,False,True,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Millennial | Free-oriented | with children
Male,55,Pays de la Loire,Rural isolé,actif,Cadres d'entreprise (administratifs et commerciaux),Salarié du privé ou association,Plusieurs fois par jour,,,autant légale,,0.0,,régulièrement,,,Jamais,abonné,3 personnes,1,couple,50-64,Gen X,1,3,True,Family with children,Rural,7,0.0,0.0,0.0,2.0,3,0,0.0,0.0,0.5,5,0.45,3.0,0.2,0.0,0,0,0,0.0,0,0.0,0,3,0.0498220640569395,0.01494661921708185,0.0,3,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Gen X | Free-oriented | with children
Female,23,Occitanie,Rural isolé,actif,Professions libérales de la santé,Chef d’entreprise salarié / gérant / PDG,Plusieurs fois par jour,Tous les jours ou presque,Légale,davantage légale,,0.0,,régulièrement,,,Régulièrement,Non,3 personnes,1,couple,18-24,Gen Z,1,3,True,Family with children,Rural,7,4.0,1.0,0.0,0.0,3,2,0.0,0.0,0.7,7,0.8,5.0,0.0,0.0,0,0,0,0.0,0,0.0,0,4,0.0498220640569395,0.01494661921708185,0.0,4,False,False,True,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Gen Z | Free-oriented | with children
Female,20,Occitanie,Rural isolé,autre,,,Plusieurs fois par jour,Tous les jours ou presque,Légale,autant légale,,0.0,,jamais,,,Jamais,compte partagé,5 personnes,2,enfant,18-24,Gen Z,2,5,True,Family with children,Rural,7,4.0,1.0,0.0,1.0,0,0,0.0,0.0,0.7,7,0.8,0.0,0.1,0.0,0,0,0,0.0,0,0.0,0,2,0.0498220640569395,0.01494661921708185,0.0,2,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Gen Z | Free-oriented | with children
Male,24,Nouvelle-Aquitaine,Ville moyenne (50k–100k hab.),étudiant,,,Plusieurs fois par jour,,,autant légale,,0.0,,jamais,,,Je ne sais pas ce que c’est,,1 personne,Aucun,célibataire,18-24,Gen Z,0,1,False,Single / other,Urban,7,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.4,4,0.45,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,3,0.0498220640569395,0.01494661921708185,0.0,3,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Gen Z | Free-oriented | without children
Female,23,Grand Est,Rural isolé,actif,Professions libérales de la santé,Salarié du privé ou association,Plusieurs fois par jour,Tous les jours ou presque,Légale,autant légale,,0.0,,ancien utilisateur,,,Jamais,abonné,3 personnes,Aucun,enfant,18-24,Gen Z,0,3,False,Single / other,Rural,7,4.0,1.0,0.0,2.0,1,0,0.0,0.0,0.7,7,0.8,1.0,0.2,0.0,0,0,0,0.0,0,0.0,0,4,0.0498220640569395,0.01494661921708185,0.0,4,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Gen Z | Free-oriented | without children
Female,20,Bourgogne-Franche-Comté,Rural isolé,étudiant,,,Plusieurs fois par jour,Tous les jours ou presque,Légale,davantage légale,,0.0,,ancien utilisateur,,,Je ne sais pas ce que c’est,compte partagé,5 personnes,2,célibataire,18-24,Gen Z,2,5,True,Family with children,Rural,7,4.0,1.0,0.0,1.0,1,0,0.0,0.0,0.7,7,0.8,1.0,0.1,0.0,0,0,0,0.0,0,0.0,0,3,0.0498220640569395,0.01494661921708185,0.0,3,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Gen Z | Free-oriented | with children
Female,31,Occitanie,Grande ville (100k–500k hab.),actif,Employés de commerce,Salarié du privé ou association,1 fois par jour ou presque,,,moins légale,,0.0,,occasionnellement,,,De temps en temps,compte partagé,1 personne,Aucun,célibataire,25-34,Millennial,0,1,False,Single / other,Urban,6,0.0,0.0,0.0,1.0,2,1,0.0,0.0,0.5,5,0.3857142857142857,3.0,0.1,0.0,0,0,0,0.0,0,0.0,0,1,0.0498220640569395,0.01494661921708185,0.0,1,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Millennial | Free-oriented | without children
Male,25,Nouvelle-Aquitaine,Rural isolé,actif,Ingénieurs et cadres techniques d'entreprise,Salarié du privé ou association,Plusieurs fois par jour,Tous les jours ou presque,Légale,davantage légale,,0.0,,jamais,,,Je ne sais pas ce que c’est,compte partagé,1 personne,Aucun,célibataire,25-34,Gen Z,0,1,False,Single / other,Rural,7,4.0,1.0,0.0,1.0,0,0,0.0,0.0,0.7,7,0.8,0.0,0.1,0.0,0,0,0,0.0,0,0.0,0,3,0.0498220640569395,0.01494661921708185,0.0,3,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Gen Z | Free-oriented | without children
Male,27,Pays de la Loire,Rural isolé,actif,Ingénieurs et cadres techniques d'entreprise,Salarié d’entreprise publique,3 à 5 fois par semaine,,,autant légale,,0.0,,occasionnellement,,,De temps en temps,abonné,2 personnes,1,célibataire,25-34,Gen Z,1,2,True,Family with children,Rural,5,0.0,0.0,0.0,2.0,2,1,0.0,0.0,0.5,5,0.32142857142857145,3.0,0.2,0.0,0,0,0,0.0,0,0.0,0,3,0.0498220640569395,0.01494661921708185,0.0,3,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Gen Z | Free-oriented | with children
Female,27,Provence-Alpes-Côte d’Azur,Ville moyenne (50k–100k hab.),actif,Employés de commerce,Salarié du privé ou association,Plusieurs fois par jour,Tous les jours ou presque,Légale,davantage légale,,0.0,,ancien utilisateur,,,De temps en temps,compte partagé,2 personnes,Aucun,couple,25-34,Gen Z,0,2,False,Couple without children,Urban,7,4.0,1.0,0.0,1.0,1,1,0.0,0.0,0.7,7,0.8,2.0,0.1,0.0,0,0,0,0.0,0,0.0,0,6,0.0498220640569395,0.01494661921708185,0.0,6,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Gen Z | Free-oriented | without children
Female,23,Pays de la Loire,Rural isolé,Primo-demandeur,,,1 fois par jour ou presque,,,davantage légale,,0.0,,régulièrement,,,De temps en temps,,6 personnes,2,couple,18-24,Gen Z,2,6,True,Family with children,Rural,6,0.0,0.0,0.0,0.0,3,1,0.0,0.0,0.4,4,0.3857142857142857,4.0,0.0,0.0,0,0,0,0.0,0,0.0,0,1,0.0498220640569395,0.01494661921708185,0.0,1,False,False,True,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Gen Z | Free-oriented | with children
Female,22,Occitanie,Bourg / petite agglomération,étudiant,,,Plusieurs fois par jour,1 à 5 fois par semaine,Légale,autant légale,,0.0,,jamais,,,Jamais,abonné,1 personne,Aucun,célibataire,18-24,Gen Z,0,1,False,Single / other,Other,7,3.0,1.0,0.0,2.0,0,0,0.0,0.0,0.7,7,0.7124999999999999,0.0,0.2,0.0,0,0,0,0.0,0,0.0,0,3,0.0498220640569395,0.01494661921708185,0.0,3,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Gen Z | Free-oriented | without children
Female,18,Provence-Alpes-Côte d’Azur,Rural isolé,étudiant,,,Plusieurs fois par jour,Tous les jours ou presque,Légale,davantage légale,,0.0,,ancien utilisateur,,,Jamais,compte partagé,5 personnes,2,enfant,18-24,Gen Z,2,5,True,Family with children,Rural,7,4.0,1.0,0.0,1.0,1,0,0.0,0.0,0.7,7,0.8,1.0,0.1,0.0,0,0,0,0.0,0,0.0,0,1,0.0498220640569395,0.01494661921708185,0.0,1,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Gen Z | Free-oriented | with children
Female,29,Provence-Alpes-Côte d’Azur,Rural isolé,actif,Cadres de la fonction publique,Salarié du privé ou association,Plusieurs fois par jour,Tous les jours ou presque,Illégale,davantage légale,,0.0,,jamais,,,Je ne sais pas ce que c’est,,5 personnes,3,couple,25-34,Millennial,3,5,True,Family with children,Rural,7,4.0,5.0,0.0,0.0,0,0,0.0,0.0,0.6,6,0.8,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0,1,0.0498220640569395,0.01494661921708185,0.0,1,False,False,False,Free-oriented,Risk Heavy,Non-spender,False,False,Low Engagement Users,Millennial | Free-oriented | with children
Male,57,Occitanie,Rural isolé,actif,Cadres d'entreprise (administratifs et commerciaux),Salarié du privé ou association,Plusieurs fois par jour,1 à 5 fois par semaine,Illégale,pas légale,,0.0,,occasionnellement,,,Jamais,compte partagé,3 personnes,Aucun,couple,50-64,Gen X,0,3,False,Couple without children,Rural,7,3.0,5.0,0.0,1.0,2,0,0.0,0.0,0.7,7,0.7124999999999999,2.0,0.1,0.0,0,0,0,0.0,0,0.0,0,1,0.0498220640569395,0.01494661921708185,0.0,1,False,False,False,Free-oriented,Risk Heavy,Non-spender,False,False,Low Engagement Users,Gen X | Free-oriented | without children
Female,29,Provence-Alpes-Côte d’Azur,Grande ville (100k–500k hab.),actif,Employés civils et agents de service publics,Salarié du privé ou association,3 à 5 fois par semaine,,,davantage légale,,0.0,,jamais,,,Je ne sais pas ce que c’est,compte partagé,1 personne,Aucun,célibataire,25-34,Millennial,0,1,False,Single / other,Urban,5,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.5,5,0.32142857142857145,0.0,0.1,0.0,0,0,0,0.0,0,0.0,0,2,0.0498220640569395,0.01494661921708185,0.0,2,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Millennial | Free-oriented | without children
Female,25,Île-de-France,Autres / hors unité urbaine,actif,Employés administratifs d'entreprise,Salarié d’un particulier,Plusieurs fois par jour,1 à 3 fois par mois,Légale,davantage légale,,0.0,,occasionnellement,,,Je ne sais pas ce que c’est,compte partagé,1 personne,Aucun,célibataire,25-34,Gen Z,0,1,False,Single / other,Other,7,2.0,1.0,0.0,1.0,2,0,0.0,0.0,0.7,7,0.625,2.0,0.1,0.0,0,0,0,0.0,0,0.0,0,5,0.0498220640569395,0.01494661921708185,0.0,5,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Gen Z | Free-oriented | without children
Male,29,Île-de-France,Autres / hors unité urbaine,actif,"Techniciens (géomètres, dessinateurs, etc.)",Salarié d’entreprise publique,3 à 5 fois par semaine,Tous les jours ou presque,Légale,autant légale,,0.0,,occasionnellement,,,De temps en temps,Non,3 personnes,1,couple,25-34,Millennial,1,3,True,Family with children,Other,5,4.0,1.0,0.0,0.0,2,1,0.0,0.0,0.7,7,0.6714285714285715,3.0,0.0,0.0,0,0,0,0.0,0,0.0,0,3,0.0498220640569395,0.01494661921708185,0.0,3,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Millennial | Free-oriented | with children
Male,31,Provence-Alpes-Côte d’Azur,Paris et grandes métropoles,actif,Cadres d'entreprise (administratifs et commerciaux),Salarié du privé ou association,Plusieurs fois par jour,Tous les jours ou presque,Légale,autant légale,,0.0,,régulièrement,,,Jamais,,1 personne,Aucun,célibataire,25-34,Millennial,0,1,False,Single / other,Metro,7,4.0,1.0,0.0,0.0,3,0,0.0,0.0,0.6,6,0.8,3.0,0.0,0.0,0,0,0,0.0,0,0.0,0,4,0.0498220640569395,0.01494661921708185,0.0,4,False,False,False,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Millennial | Free-oriented | without children
Female,59,Nouvelle-Aquitaine,Bourg / petite agglomération,actif,Ouvriers qualifiés de type artisanal,Salarié du privé ou association,Plusieurs fois par jour,,,,,0.0,,jamais,Non,payante,Je ne sais pas ce que c’est,,2 personnes,Aucun,couple,50-64,Gen X,0,2,False,Couple without children,Other,7,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.6,6,0.45,0.0,0.0,0.0,0,0,0,0.0,0,5.0,0,0,0.010676156583629894,0.003202846975088968,5.0,0,False,False,True,Free-oriented,Unspecified,Non-spender,False,False,Low Engagement Users,Gen X | Free-oriented | without children
Female,31,Île-de-France,Rural isolé,actif,Employés administratifs d'entreprise,Salarié du privé ou association,Plusieurs fois par jour,1 à 5 fois par semaine,Légale,autant légale,gratuit,0.0,,jamais,Non,payante,Je ne sais pas ce que c’est,compte partagé,2 personnes,Aucun,couple,25-34,Millennial,0,2,False,Couple without children,Rural,7,3.0,1.0,1.0,1.0,0,0,0.0,0.0,1.0,10,0.7124999999999999,0.0,0.2,1.0,4,6,0,0.0,0,5.0,0,0,0.1103202846975089,0.22059608540925268,5.0,0,False,False,True,Free-oriented,Legal Free,Non-spender,False,True,Heavy Free Users,Millennial | Free-oriented | without children
Female,18,Pays de la Loire,Rural isolé,étudiant,,,Plusieurs fois par jour,Tous les jours ou presque,Légale,autant légale,autant,15.0,,occasionnellement,Non,souvent gratuit,Jamais,compte partagé,2 personnes,Aucun,couple,18-24,Gen Z,0,2,False,Couple without children,Rural,7,4.0,1.0,3.0,1.0,2,0,2.0,0.0,1.0,10,1.0,4.0,0.7,3.0,4,6,0,0.0,0,2.0,0,0,0.1103202846975089,0.22059608540925268,2.0,0,True,False,True,Balanced,Unspecified,Mid spender,False,False,Low Engagement Users,Gen Z | Balanced | without children
Male,52,Île-de-France,Autres / hors unité urbaine,actif,"Techniciens (géomètres, dessinateurs, etc.)",Salarié du privé ou association,Plusieurs fois par jour,1 à 5 fois par semaine,Légale,autant légale,payante,12.0,,jamais,Non,payante,Jamais,compte partagé,3 personnes,1,couple,50-64,Gen X,1,3,True,Family with children,Other,7,3.0,1.0,5.0,1.0,0,0,0.0,0.0,1.0,10,0.9124999999999999,0.0,0.8999999999999999,5.0,4,3,0,0.0,0,5.0,0,0,0.08896797153024912,0.1954403914590747,5.0,0,True,False,True,Paid-oriented,Legal Paid,Mid spender,False,False,Low Engagement Users,Gen X | Paid-oriented | with children
Male,34,Auvergne-Rhône-Alpes,Ville moyenne (50k–100k hab.),actif,Ouvriers non qualifiés industriels,Salarié du privé ou association,Plusieurs fois par jour,,,autant légale,,20.0,,ancien utilisateur,Non,payante,Jamais,compte partagé,1 personne,Aucun,célibataire,25-34,Millennial,0,1,False,Single / other,Urban,7,0.0,0.0,0.0,1.0,1,0,0.0,0.0,0.7,7,0.65,1.0,0.4,2.0,5,4,0,0.0,0,5.0,0,0,0.11387900355871886,0.24666370106761565,5.0,0,True,False,True,Free-oriented,Unspecified,Mid spender,True,False,Low Engagement Users,Millennial | Free-oriented | without children
Female,57,Provence-Alpes-Côte d’Azur,Paris et grandes métropoles,actif,"Professeurs, professions scientifiques",Salarié du privé ou association,Plusieurs fois par jour,1 à 5 fois par semaine,Légale,autant légale,souvent payante,35.0,Sur d’autres appareils,jamais,Non,payante,Je ne sais pas ce que c’est,abonné,2 personnes,Aucun,couple,50-64,Gen X,0,2,False,Couple without children,Metro,7,3.0,1.0,4.0,2.0,0,0,0.0,0.0,1.0,10,0.9124999999999999,0.0,0.9000000000000001,2.7,10,8,0,0.0,0,5.0,0,0,0.17437722419928825,0.47731316725978645,5.0,0,True,False,True,Paid-oriented,Legal Paid,High spender,True,False,Premium Legal Users,Gen X | Paid-oriented | without children
Female,45,Pays de la Loire,Rural isolé,actif,Employés administratifs d'entreprise,Salarié d’un hôpital public,Plusieurs fois par jour,,,autant légale,,20.0,Sur d’autres appareils,jamais,Non,souvent payante,Je ne sais pas ce que c’est,compte partagé,3 personnes,1,couple,35-49,Gen X,1,3,True,Family with children,Rural,7,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0.7,7,0.65,0.0,0.4,1.0,1,0,0,0.0,0,4.0,0,0,0.014234875444839857,0.04177046263345195,4.0,0,True,False,True,Free-oriented,Unspecified,Mid spender,True,False,Low Engagement Users,Gen X | Free-oriented | with children
Male,40,Île-de-France,Rural isolé,actif,Ouvriers qualifiés de type industriel,Salarié d’entreprise publique,Plusieurs fois par jour,Tous les jours ou presque,Légale,autant légale,gratuit,30.0,Sur d’autres appareils,jamais,Non,payante,Je ne sais pas ce que c’est,compte partagé,6 personnes,4 et plus,couple,35-49,Millennial,4,6,True,Family with children,Rural,7,4.0,1.0,1.0,1.0,0,0,0.0,0.0,1.0,10,1.0,0.0,0.5,2.0,6,7,0,0.0,0,5.0,0,0,0.11743772241992882,0.3039813167259786,5.0,0,True,False,True,Free-oriented,Legal Free,High spender,True,False,Low Engagement Users,Millennial | Free-oriented | with children
Female,59,Bourgogne-Franche-Comté,Rural isolé,chômeur,Employés administratifs d'entreprise,Salarié du privé ou association,Plusieurs fois par jour,1 à 3 fois par mois,Légale,autant légale,gratuit,6.0,,occasionnellement,Non,payante,Je ne sais pas ce que c’est,compte partagé,2 personnes,Aucun,couple,50-64,Gen X,0,2,False,Couple without children,Rural,7,2.0,1.0,1.0,1.0,2,0,0.0,0.0,1.0,10,0.825,2.0,0.5,2.5,4,10,0,0.0,0,5.0,0,0,0.1103202846975089,0.24559608540925265,5.0,0,True,False,True,Free-oriented,Legal Free,Mid spender,False,False,Low Engagement Users,Gen X | Free-oriented | without children
